# 0Wavelength	 1Intensity
400.018	200.598
400.609	203.399
401.200	202.285
401.791	201.783
402.381	200.621
402.972	202.073
403.563	199.952
404.154	201.540
404.744	202.230
405.335	202.056
405.925	200.770
406.516	200.669
407.106	202.611
407.697	200.644
408.287	201.449
408.878	199.449
409.468	201.833
410.058	202.495
410.649	202.336
411.239	201.159
411.829	200.919
412.419	202.677
413.010	200.255
413.600	201.831
414.190	199.864
414.780	201.283
415.370	202.008
415.960	202.472
416.550	201.313
417.140	201.048
417.730	202.598
418.320	199.586
418.910	202.778
419.499	199.699
420.089	202.876
420.679	202.508
421.269	201.556
421.858	201.609
422.448	200.944
423.037	202.644
423.627	199.742
424.217	203.298
424.806	201.169
425.396	200.919
425.985	201.391
426.574	199.005
427.164	199.164
427.753	201.611
428.342	201.301
428.932	200.328
429.521	201.740
430.110	202.073
430.699	199.972
431.289	202.245
431.878	201.980
432.467	200.684
433.056	200.970
433.645	200.742
434.234	201.848
434.823	200.013
435.412	201.914
436.000	201.177
436.589	200.268
437.178	200.220
437.767	201.664
438.356	199.280
438.944	202.465
439.533	199.838
440.122	200.591
440.710	200.480
441.299	199.348
441.887	201.091
442.476	200.444
443.064	202.311
443.653	202.717
444.241	200.260
444.830	200.091
445.418	200.856
446.006	200.263
446.594	202.290
447.183	199.722
447.771	200.621
448.359	202.699
448.947	201.250
449.535	200.106
450.123	201.460
450.711	201.692
451.299	203.111
451.887	200.576
452.475	201.586
453.063	202.182
453.651	198.932
454.239	201.982
454.827	200.497
455.414	199.992
456.002	201.015
456.590	199.255
457.177	199.369
457.765	200.460
458.353	200.328
458.940	201.126
459.528	201.253
460.115	200.742
460.703	201.154
461.290	198.745
461.878	201.525
462.465	201.604
463.052	198.535
463.639	200.242
464.227	200.290
464.814	200.477
465.401	200.619
465.988	201.896
466.575	200.283
467.162	199.949
467.750	198.985
468.337	200.902
468.923	199.399
469.510	200.028
470.097	199.652
470.684	199.452
471.271	199.268
471.858	201.876
472.445	201.745
473.031	200.725
473.618	199.051
474.205	201.303
474.791	199.902
475.378	202.199
475.964	199.126
476.551	200.684
477.137	198.907
477.724	199.005
478.310	199.874
478.897	199.856
479.483	199.106
480.069	199.773
480.656	202.687
481.242	200.106
481.828	200.518
482.414	200.960
483.000	198.783
483.586	200.884
484.173	197.485
484.759	202.066
485.345	198.947
485.931	200.843
486.517	199.879
487.102	200.273
487.688	200.129
488.274	201.116
488.860	201.487
489.446	199.114
490.031	198.977
490.617	200.553
491.203	198.732
491.788	199.684
492.374	199.694
492.959	199.321
493.545	201.429
494.130	200.624
494.716	200.167
495.301	200.664
495.887	199.386
496.472	200.879
497.057	199.412
497.643	199.371
498.228	200.753
498.813	199.750
499.398	199.482
499.983	199.869
500.568	199.414
501.153	199.604
501.738	201.121
502.323	199.922
502.908	199.061
503.493	200.008
504.078	198.944
504.663	200.124
505.248	199.694
505.833	199.010
506.417	200.015
507.002	200.028
507.587	199.338
508.171	198.303
508.756	200.139
509.340	200.043
509.925	199.639
510.509	200.326
511.094	200.412
511.678	199.124
512.263	199.634
512.847	200.366
513.431	200.535
514.016	199.407
514.600	199.932
515.184	198.692
515.768	198.702
516.352	199.338
516.936	198.960
517.520	198.020
518.104	199.073
518.688	198.841
519.272	199.192
519.856	198.826
520.440	200.538
521.024	199.730
521.608	197.750
522.192	198.975
522.775	200.596
523.359	199.750
523.943	199.260
524.526	198.907
525.110	200.356
525.693	199.225
526.277	199.606
526.860	198.553
527.444	197.331
528.027	199.255
528.611	198.551
529.194	198.601
529.777	197.593
530.360	199.639
530.944	198.763
531.527	200.808
532.110	197.679
532.693	197.967
533.276	199.336
533.859	199.611
534.442	199.386
535.025	198.636
535.608	201.732
536.191	200.225
536.774	200.197
537.357	200.202
537.940	198.462
538.522	200.174
539.105	199.162
539.688	198.780
540.270	198.604
540.853	198.813
541.436	198.111
542.018	199.318
542.601	199.442
543.183	199.601
543.766	197.952
544.348	197.273
544.930	199.093
545.513	199.379
546.095	200.167
546.677	198.798
547.259	197.684
547.841	198.101
548.424	198.861
549.006	198.048
549.588	200.462
550.170	197.730
550.752	197.730
551.334	198.364
551.916	198.295
552.498	198.220
553.079	199.770
553.661	198.563
554.243	198.131
554.825	197.843
555.406	199.672
555.988	199.169
556.570	197.253
557.151	200.414
557.733	197.758
558.314	198.429
558.896	200.053
559.477	198.793
560.059	198.025
560.640	199.391
561.221	198.596
561.803	198.795
562.384	200.404
562.965	198.886
563.546	197.311
564.127	198.278
564.708	198.619
565.290	198.068
565.871	198.111
566.452	198.240
567.033	198.126
567.613	199.662
568.194	199.056
568.775	196.884
569.356	198.821
569.937	197.659
570.517	198.303
571.098	197.250
571.679	197.636
572.259	198.356
572.840	198.083
573.421	197.760
574.001	198.058
574.581	198.949
575.162	197.813
575.742	198.429
576.323	196.896
576.903	198.043
577.483	199.699
578.064	196.760
578.644	197.780
579.224	198.558
579.804	199.692
580.384	199.947
580.964	197.247
581.544	197.285
582.124	197.874
582.704	197.263
583.284	198.482
583.864	198.023
584.444	198.328
585.023	197.904
585.603	197.422
586.183	197.955
586.763	196.907
587.342	196.682
587.922	200.566
588.501	197.242
589.081	197.697
589.660	198.197
590.240	198.702
590.819	197.386
591.399	198.053
591.978	198.028
592.557	199.071
593.137	199.119
593.716	199.303
594.295	196.929
594.874	198.465
595.453	196.947
596.032	198.139
596.611	197.919
597.190	198.361
597.769	197.298
598.348	197.785
598.927	199.518
599.506	198.980
600.085	198.343
600.664	197.927
601.242	199.747
601.821	197.760
602.400	197.937
602.978	196.967
603.557	198.045
604.135	196.778
604.714	197.965
605.292	197.616
605.871	197.199
606.449	199.621
607.027	197.694
607.606	198.758
608.184	198.924
608.762	197.571
609.341	198.199
609.919	197.164
610.497	199.333
611.075	198.061
611.653	198.518
612.231	197.179
612.809	197.449
613.387	200.351
613.965	197.356
614.543	197.586
615.120	197.715
615.698	199.561
616.276	197.702
