# time (ps)	 sum signal (V)	 MOKE (V)	 B plus signal (V) 	 B minus signal (V)
290.0	-0.007598609090380681	-0.00012891357347621923	-0.0038637613319284503	-0.003734847758452231
292.22222222222223	-0.00717624483099466	0.00021503117766319413	-0.003480606826665733	-0.003695638004328927
294.4444444444445	-0.0083948139450295	0.0014214273516061082	-0.003486693296711696	-0.004908120648317804
296.6666666666667	-0.009314382131256016	0.00027304265843408615	-0.004520669736410965	-0.004793712394845051
298.8888888888889	-0.008033862449803864	0.0008785676793353625	-0.0035776473852342505	-0.004456215064569613
301.1111111111111	-0.00820538783682101	-0.00035933993837733436	-0.004282363887599172	-0.003923023949221838
303.3333333333333	-0.007413657823874709	-0.00017277679764526876	-0.0037932173107599887	-0.00362044051311472
305.5555555555555	-0.00795293667274144	0.0007879720041402694	-0.003582482334300585	-0.0043704543384408545
307.77777777777777	-0.00962269874175914	0.0004793029338314714	-0.004571697903963834	-0.005051000837795305
310.0	-0.008546288581368522	-0.00037867828240312207	-0.004462483431885822	-0.0040838051494827
310.5044247787611	-0.00791014482061847	0.0006692638924001848	-0.0036204404641091426	-0.004289704356509327
311.0088495575221	-0.007790006828813145	-0.0006182383275289416	-0.004204122578171043	-0.003585884250642102
311.5132743362832	-0.009438103481460902	0.00038064424882022774	-0.004528729616320337	-0.004909373865140565
312.01769911504425	-0.003917474706234492	-0.000838282586498984	-0.002377878646366738	-0.0015395960598677538
312.5221238938053	-0.0011825828501044189	-0.001365208549986674	-0.0012738957000455464	9.131284994112754e-05
313.0265486725664	-0.002702663074246714	-0.0017129103514895716	-0.0022077867128681428	-0.0004948763613785712
313.53097345132744	-0.0018312581963899621	-0.00020231823280858485	-0.0010167882145992735	-0.0008144699817906886
314.0353982300885	-0.0027184187403056503	0.00011476589006742532	-0.0013018264251191125	-0.0014165923151865378
314.5398230088495	-0.002021580344025442	0.0016409346124116597	-0.00019032286580689117	-0.001831257478218551
315.04424778761063	-0.0006218181403091494	-0.0008714049835202298	-0.0007466115619146896	0.0001247934216055402
315.54867256637175	-0.0001219286207593262	0.00029022948855683683	8.415043389875532e-05	-0.00020607905465808152
316.05309734513276	0.0005553940599075657	0.0017012728859419068	0.0011283334729247363	-0.0005729394130171706
316.5575221238938	-0.0006993444219908218	0.001196368479606691	0.00024851202880793455	-0.0009478564507987564
317.0619469026549	0.0015560677656714095	-0.000678038293544958	0.0004390147360632257	0.0011170530296081838
317.56637168141594	0.0020985696195219283	0.0008080240183117038	0.001453296818916816	0.0006452728006051123
318.070796460177	0.0018178288580714685	-0.0002834257804025242	0.0007672015388344722	0.0010506273192369964
318.57522123893807	0.00373842956493331	-0.0009346069223835629	0.0014019113212748735	0.0023365182436584364
319.07964601769913	0.0030867103381654326	-0.0006087477155033438	0.0012389813113310444	0.0018477290268343882
319.58407079646014	0.003180351158134087	-0.00030025501628627715	0.001440048070923905	0.0017403030872101821
320.08849557522126	0.001542997649996991	0.0005704328540112602	0.0010567152520041256	0.00048628239799286543
320.5929203539824	0.0026650622508682664	0.0006064207168551272	0.0016357414838616968	0.0010293207670065696
321.0973451327434	0.004700071629847757	-6.623788824100529e-06	0.0023467239205118284	0.002353347709335929
321.60176991150445	0.003953640967286121	-0.0006151933833552503	0.0016692237919654351	0.0022844171753206854
322.1061946902655	0.0033092620711946408	-2.0232340497750023e-05	0.0016445148653484454	0.0016647472058461954
322.6106194690266	0.002877409346234372	-0.0001788645850832049	0.0013492723805755835	0.0015281369656587884
323.11504424778764	0.0022965921721955773	0.0023091243130699546	0.002302858242632766	-6.266070437188631e-06
323.6194690265487	0.0016352048864710644	0.00027554801808526985	0.0009553764522781671	0.0006798284341928973
324.12389380530976	0.001175959406021554	0.00029828581042223856	0.0007371226082218962	0.0004388367977996577
324.62831858407077	0.0026842199874821393	-0.0007462528465871365	0.0009689835704475014	0.001715236417034638
325.13274336283183	0.0018103095864236973	-0.0006608495008337822	0.0005747300427949575	0.0012355795436287398
325.6371681415929	0.0004762571697141116	0.002438930553276375	0.0014575938614952433	-0.0009813366917811317
326.14159292035396	0.001479616610759238	0.00022058217404674618	0.000850099392402992	0.0006295172183562459
326.646017699115	0.0016219556212599961	-0.000400161457388748	0.0006108970819356241	0.001011058539324372
327.1504424778761	0.00016955427614995244	0.0009269089378260986	0.0005482316069880255	-0.0003786773308380731
327.65486725663715	0.0008615574418195937	0.00014466678784019749	0.0005031121148298956	0.0003584453269896981
328.1592920353982	-0.0009609264577652432	0.0004986360689644975	-0.00023114519440037284	-0.0007297812633648704
328.6637168141593	-0.0016536457965945495	9.883255592813e-05	-0.0007774066203332097	-0.0008762391762613397
329.16814159292034	-0.00046927301106147734	0.0005401742930767339	3.545064100762829e-05	-0.0005047236520691056
329.6725663716814	-0.0012704939625985956	0.0011433718266672388	-6.35610679656784e-05	-0.0012069328946329172
330.17699115044246	-0.0011675429117011804	-0.0003844078307989607	-0.0007759753712500705	-0.00039156754045110986
330.6814159292035	-0.0017193550371346067	0.0010167885475216298	-0.0003512832448064884	-0.0013680717923281183
331.1858407079646	-0.0016389654836701517	0.0006717711286501338	-0.00048359717751000897	-0.0011553683061601427
331.69026548672565	-0.0010198327857363632	-0.0009589566736000199	-0.0009893947296681915	-3.0438056068171626e-05
332.1946902654867	-0.0004325696148415048	0.001439867807706774	0.0005036490964326346	-0.0009362187112741394
332.6991150442478	-0.001046150528199452	-0.0009491102469668666	-0.0009976303875831594	-4.852014061629273e-05
333.20353982300884	-0.0009666556235133905	0.0011972635817399935	0.00011530397911330148	-0.001081959602626692
