# 0Wavelength	 1Intensity
400.018	200.273
400.609	203.338
401.200	200.697
401.791	202.520
402.381	202.323
402.972	202.369
403.563	201.316
404.154	201.078
404.744	202.528
405.335	201.838
405.925	200.083
406.516	200.727
407.106	202.682
407.697	202.856
408.287	202.313
408.878	200.934
409.468	201.760
410.058	202.934
410.649	203.134
411.239	202.434
411.829	202.255
412.419	202.412
413.010	201.874
413.600	201.626
414.190	203.407
414.780	202.629
415.370	201.750
415.960	201.189
416.550	202.162
417.140	202.071
417.730	203.131
418.320	202.763
418.910	201.694
419.499	202.944
420.089	201.765
420.679	201.427
421.269	201.285
421.858	202.189
422.448	201.811
423.037	200.336
423.627	202.010
424.217	202.833
424.806	201.586
425.396	202.977
425.985	202.487
426.574	199.990
427.164	202.841
427.753	201.480
428.342	202.480
428.932	200.725
429.521	202.202
430.110	202.414
430.699	200.737
431.289	201.866
431.878	200.652
432.467	202.129
433.056	202.646
433.645	200.528
434.234	199.687
434.823	200.154
435.412	200.659
436.000	201.149
436.589	201.556
437.178	202.364
437.767	199.985
438.356	198.712
438.944	202.727
439.533	202.189
440.122	200.210
440.710	202.126
441.299	201.553
441.887	200.735
442.476	201.275
443.064	201.159
443.653	200.419
444.241	199.859
444.830	200.189
445.418	201.323
446.006	200.985
446.594	201.626
447.183	202.576
447.771	202.525
448.359	201.109
448.947	201.141
449.535	200.258
450.123	201.914
450.711	200.626
451.299	204.386
451.887	200.104
452.475	200.495
453.063	202.581
453.651	202.412
454.239	200.376
454.827	201.144
455.414	201.081
456.002	201.194
456.590	202.066
457.177	199.803
457.765	200.503
458.353	200.194
458.940	202.715
459.528	198.535
460.115	200.093
460.703	200.568
461.290	200.071
461.878	199.962
462.465	202.169
463.052	199.313
463.639	200.573
464.227	200.955
464.814	200.520
465.401	201.391
465.988	199.737
466.575	200.942
467.162	203.369
467.750	200.510
468.337	201.591
468.923	198.523
469.510	198.212
470.097	201.609
470.684	200.619
471.271	200.854
471.858	200.394
472.445	201.328
473.031	198.881
473.618	199.957
474.205	201.907
474.791	199.664
475.378	200.402
475.964	198.644
476.551	200.689
477.137	198.283
477.724	198.982
478.310	201.129
478.897	199.927
479.483	201.359
480.069	198.545
480.656	200.407
481.242	201.813
481.828	199.727
482.414	202.210
483.000	199.611
483.586	200.311
484.173	199.316
484.759	200.495
485.345	200.722
485.931	199.086
486.517	199.803
487.102	199.460
487.688	200.932
488.274	199.083
488.860	200.285
489.446	201.694
490.031	200.980
490.617	199.250
491.203	198.518
491.788	200.172
492.374	200.586
492.959	200.045
493.545	200.785
494.130	199.023
494.716	201.154
495.301	200.710
495.887	199.942
496.472	199.449
497.057	200.937
497.643	199.922
498.228	199.495
498.813	199.939
499.398	199.856
499.983	200.346
500.568	199.727
501.153	199.884
501.738	200.525
502.323	200.917
502.908	198.793
503.493	198.972
504.078	199.684
504.663	199.806
505.248	200.848
505.833	202.061
506.417	200.207
507.002	200.293
507.587	200.783
508.171	199.053
508.756	201.088
509.340	201.409
509.925	199.881
510.509	199.841
511.094	200.023
511.678	198.500
512.263	200.371
512.847	200.611
513.431	200.694
514.016	200.202
514.600	200.369
515.184	197.859
515.768	199.048
516.352	199.015
516.936	196.972
517.520	198.828
518.104	197.874
518.688	199.111
519.272	199.146
519.856	200.417
520.440	199.250
521.024	199.778
521.608	198.813
522.192	199.098
522.775	199.437
523.359	199.952
523.943	199.869
524.526	200.955
525.110	199.669
525.693	198.702
526.277	200.500
526.860	200.111
527.444	199.366
528.027	198.808
528.611	197.571
529.194	200.336
529.777	198.278
530.360	198.874
530.944	198.396
531.527	200.470
532.110	199.912
532.693	199.157
533.276	199.116
533.859	197.593
534.442	199.631
535.025	198.806
535.608	200.409
536.191	199.308
536.774	199.449
537.357	199.182
537.940	199.705
538.522	200.715
539.105	200.326
539.688	199.768
540.270	199.030
540.853	199.624
541.436	199.215
542.018	199.730
542.601	200.775
543.183	198.028
543.766	199.604
544.348	198.225
544.930	198.924
545.513	199.389
546.095	199.851
546.677	199.063
547.259	197.770
547.841	198.369
548.424	198.773
549.006	200.684
549.588	197.601
550.170	199.699
550.752	199.672
551.334	200.540
551.916	198.869
552.498	199.621
553.079	198.530
553.661	200.407
554.243	198.081
554.825	199.152
555.406	199.467
555.988	201.265
556.570	199.285
557.151	199.164
557.733	199.202
558.314	198.616
558.896	199.038
559.477	198.934
560.059	199.965
560.640	197.460
561.221	197.641
561.803	198.376
562.384	198.876
562.965	199.278
563.546	199.884
564.127	197.902
564.708	199.566
565.290	197.816
565.871	199.952
566.452	199.222
567.033	197.932
567.613	200.361
568.194	198.482
568.775	199.192
569.356	197.646
569.937	199.230
570.517	198.035
571.098	199.970
571.679	198.194
572.259	198.457
572.840	198.957
573.421	197.197
574.001	198.558
574.581	199.379
575.162	198.354
575.742	198.699
576.323	197.439
576.903	197.846
577.483	199.573
578.064	197.924
578.644	199.366
579.224	198.705
579.804	199.381
580.384	197.912
580.964	198.202
581.544	197.838
582.124	199.354
582.704	197.220
583.284	198.225
583.864	197.593
584.444	200.508
585.023	196.899
585.603	199.328
586.183	198.247
586.763	199.205
587.342	198.005
587.922	198.619
588.501	197.644
589.081	197.492
589.660	197.662
590.240	199.174
590.819	197.649
591.399	197.169
591.978	197.790
592.557	199.126
593.137	197.866
593.716	196.914
594.295	197.500
594.874	199.722
595.453	197.894
596.032	197.152
596.611	197.874
597.190	198.306
597.769	197.258
598.348	197.475
598.927	197.808
599.506	200.167
600.085	198.614
600.664	198.848
601.242	197.730
601.821	198.182
602.400	198.258
602.978	198.811
603.557	196.679
604.135	198.611
604.714	197.240
605.292	198.540
605.871	196.896
606.449	196.924
607.027	197.285
607.606	197.414
608.184	197.957
608.762	197.053
609.341	197.311
609.919	197.899
610.497	196.639
611.075	198.008
611.653	197.116
612.231	196.770
612.809	200.409
613.387	199.215
613.965	196.833
614.543	197.015
615.120	196.801
615.698	199.427
616.276	199.025
616.854	197.553
617.431	196.952
618.009	199.520
618.586	197.960
619.164	199.071
619.741	197.045
620.319	196.409
620.896	198.510
621.474	196.614
622.051	197.652
622.628	196.838
623.206	197.614
623.783	196.033
624.360	197.402
624.937	196.467
625.514	199.652
626.091	195.823
626.668	198.030
627.245	198.321
627.822	197.482
628.399	197.919
628.976	197.487
629.553	196.563
630.130	197.745
630.707	199.316
631.283	197.652
631.860	197.475
632.437	196.295
633.013	198.220
633.590	200.199
634.166	196.894
634.743	198.477
635.319	196.775
635.896	197.604
636.472	196.076
637.048	195.747
637.625	197.588
638.201	197.429
638.777	196.960
639.353	196.606
639.930	196.495
640.506	198.500
641.082	197.311
641.658	196.982
642.234	197.942
642.810	197.096
643.385	197.356
643.961	197.419
644.537	196.162
645.113	195.407
645.689	196.758
646.264	197.232
646.840	196.288
647.416	196.836
647.991	198.003
648.567	197.354
649.142	196.899
649.718	197.737
650.293	198.033
650.869	196.543
651.444	197.326
652.019	196.076
652.595	198.124
653.170	197.811
653.745	195.288
654.320	195.970
654.895	197.556
655.470	197.247
656.045	196.422
656.620	198.682
657.195	196.699
657.770	197.644
658.345	197.598
658.920	197.018
659.495	197.904
660.069	197.051
660.644	195.364
661.219	196.149
661.793	195.854
662.368	197.434
662.943	197.924
663.517	196.005
664.092	197.808
664.666	196.162
665.240	196.609
665.815	196.225
666.389	195.659
666.963	196.283
667.538	195.697
668.112	195.896
668.686	197.449
669.260	197.048
669.834	198.576
670.408	197.452
670.982	196.429
671.556	197.356
672.130	196.586
672.704	196.783
673.278	196.732
673.852	197.167
674.425	197.452
674.999	194.275
675.573	194.990
676.146	197.841
676.720	194.891
677.294	196.755
677.867	195.793
678.441	196.843
679.014	196.126
679.587	197.773
680.161	197.662
680.734	195.194
681.307	195.710
681.880	195.667
682.454	197.172
683.027	195.348
683.600	194.359
684.173	196.091
684.746	197.061
685.319	196.775
685.892	196.172
686.465	198.008
687.038	197.182
687.611	195.444
688.183	196.422
688.756	195.280
689.329	195.578
689.901	194.682
690.474	198.449
691.047	196.000
691.619	195.470
692.192	196.780
692.764	197.028
693.337	197.025
693.909	197.455
694.481	196.649
695.054	194.576
695.626	196.924
696.198	197.109
696.770	195.538
697.342	196.013
697.914	197.662
698.486	194.518
699.059	195.111
699.630	194.121
700.202	194.649
700.774	196.806
701.346	197.465
701.918	195.288
702.490	194.717
703.061	195.222
703.633	197.202
704.205	194.876
704.776	194.990
705.348	194.889
705.919	195.932
706.491	198.030
707.062	195.548
707.634	197.341
708.205	196.593
708.776	194.932
709.348	195.126
709.919	196.843
710.490	195.566
711.061	196.063
711.632	195.980
712.203	197.199
712.774	195.967
713.345	196.944
713.916	195.982
714.487	195.823
715.058	195.202
715.629	196.205
716.200	194.674
716.770	195.374
717.341	195.285
717.912	194.952
718.482	194.922
719.053	195.836
719.623	194.929
720.194	197.558
720.764	194.596
721.335	196.078
721.905	195.444
722.475	196.571
723.046	194.712
723.616	195.631
724.186	194.891
724.756	194.328
725.326	197.295
725.897	195.583
726.467	196.038
727.037	197.167
727.606	194.088
728.176	195.775
728.746	195.136
729.316	194.184
729.886	195.513
730.456	196.134
731.025	194.601
731.595	195.013
732.165	194.399
732.734	196.604
733.304	197.116
733.873	194.788
734.443	195.854
735.012	192.896
735.581	195.601
736.151	195.270
736.720	193.131
737.289	195.785
737.858	195.061
738.427	193.684
738.997	193.823
739.566	193.995
740.135	194.795
740.704	194.159
741.273	195.210
741.841	196.225
742.410	194.811
742.979	196.636
743.548	195.737
744.117	196.068
744.685	194.596
745.254	194.944
745.823	195.056
746.391	193.740
746.960	196.641
747.528	195.722
748.096	194.346
748.665	195.247
749.233	194.702
749.802	195.616
750.370	194.722
750.938	195.343
751.506	194.641
752.074	196.543
752.642	193.508
753.211	195.475
753.779	195.136
754.346	194.301
754.914	195.487
755.482	193.985
756.050	197.283
756.618	193.417
757.186	196.912
757.753	194.260
758.321	194.096
758.889	195.747
759.456	194.649
760.024	193.134
760.591	195.518
761.159	195.422
761.726	193.023
762.294	193.788
762.861	194.942
763.428	193.634
763.995	194.447
764.563	195.338
765.130	195.035
765.697	195.750
766.264	193.596
766.831	193.987
767.398	195.525
767.965	194.614
768.532	195.899
769.099	196.048
769.665	195.561
770.232	194.672
770.799	195.460
771.366	195.348
771.932	192.124
772.499	195.657
773.065	195.268
773.632	196.775
774.198	195.952
774.765	192.015
775.331	194.780
775.898	194.861
776.464	195.833
777.030	196.197
777.596	194.616
778.162	193.245
778.729	194.922
779.295	193.455
779.861	195.747
780.427	194.601
780.993	192.995
781.558	193.212
782.124	194.955
782.690	195.063
783.256	194.944
783.822	195.947
784.387	194.424
784.953	193.785
785.519	194.583
786.084	195.442
786.650	194.682
787.215	195.013
787.781	194.386
788.346	194.912
788.911	196.068
789.477	196.232
790.042	193.884
790.607	192.657
791.172	193.803
791.737	194.366
792.303	194.667
792.868	194.995
793.432	194.023
793.997	193.806
794.562	194.604
795.127	196.141
795.692	194.225
796.257	193.202
796.822	196.232
797.386	194.404
797.951	193.816
798.516	194.646
799.080	194.086
799.645	193.235
800.209	194.164
