# 0Wavelength	 1Intensity
1053.262	724.355
1059.834	644.816
1066.404	760.171
1072.972	564.197
1079.538	718.053
1086.102	615.882
1092.665	676.434
1099.226	703.197
1105.784	723.868
1112.341	821.316
1118.896	754.658
1125.449	678.632
1132.001	577.132
1138.550	760.197
1145.098	747.974
1151.644	580.329
1158.188	824.671
1164.730	643.921
1171.270	609.895
1177.809	740.921
1184.346	530.895
1190.881	849.539
1197.414	663.211
1203.946	561.500
1210.475	754.316
1217.003	602.066
1223.530	632.434
1230.054	625.618
1236.577	679.829
1243.098	681.079
1249.617	570.868
1256.135	693.342
1262.651	601.789
1269.165	619.197
1275.678	816.776
1282.188	472.079
1288.698	591.145
1295.205	667.289
1301.711	706.750
1308.215	602.197
1314.717	688.974
1321.218	647.000
1327.717	701.487
1334.215	684.684
1340.711	605.908
1347.205	659.539
1353.698	769.000
1360.188	655.342
1366.678	619.079
1373.166	624.316
1379.652	712.961
1386.137	525.263
1392.620	722.658
1399.101	611.789
1405.581	636.882
1412.060	601.553
1418.536	636.658
1425.012	663.645
1431.485	636.539
1437.958	690.974
1444.428	594.789
1450.898	684.961
1457.365	606.803
1463.832	653.342
1470.296	560.408
1476.759	635.066
1483.221	634.895
1489.681	744.566
1496.140	665.145
1502.597	570.421
1509.053	702.053
1515.508	772.961
1521.960	511.789
1528.412	766.487
1534.862	606.934
1541.311	643.132
1547.758	590.316
1554.203	701.013
1560.648	670.645
1567.091	716.250
1573.532	636.132
1579.973	632.066
1586.411	744.289
1592.849	638.671
1599.285	534.316
1605.720	840.408
1612.153	621.776
1618.585	532.171
1625.016	680.776
1631.445	701.645
1637.873	665.645
1644.300	654.829
1650.725	689.132
1657.149	629.566
1663.572	650.934
1669.993	661.579
1676.414	632.697
1682.833	755.645
1689.250	720.158
1695.667	628.039
1702.082	685.184
1708.496	594.000
1714.908	699.737
1721.319	828.013
1727.729	657.079
1734.138	612.711
1740.546	664.368
1746.953	649.868
1753.358	608.855
1759.762	699.263
1766.165	666.382
1772.566	700.934
1778.967	717.171
1785.366	524.908
1791.764	722.737
1798.161	614.513
1804.557	600.855
1810.951	577.461
1817.345	652.671
1823.737	813.013
1830.128	596.145
1836.519	604.934
1842.908	640.974
1849.295	726.197
1855.682	625.132
1862.068	695.000
1868.453	640.618
1874.836	637.882
1881.219	540.289
1887.600	632.303
1893.980	567.289
1900.359	808.039
1906.737	605.000
1913.114	751.987
1919.491	553.711
1925.866	700.697
1932.240	596.316
1938.613	651.645
1944.985	674.592
1951.356	674.053
1957.726	572.039
1964.095	701.803
1970.463	647.934
1976.830	623.092
1983.196	681.579
1989.561	696.724
1995.925	655.605
2002.288	638.461
2008.650	727.145
2015.012	539.079
2021.372	739.355
2027.732	718.882
2034.090	578.842
2040.448	746.947
2046.804	610.553
2053.160	654.868
2059.515	670.105
2065.869	602.053
2072.222	735.421
2078.574	675.289
2084.926	747.697
2091.276	727.118
2097.626	604.645
2103.975	652.566
2110.323	703.474
2116.670	766.079
2123.016	828.789
2129.362	629.987
2135.707	612.132
2142.050	697.632
2148.394	609.724
2154.736	797.039
2161.077	625.382
2167.418	613.724
2173.758	689.461
2180.097	687.316
2186.436	608.237
2192.773	749.039
2199.110	619.329
2205.446	697.092
2211.781	727.671
2218.116	725.171
2224.450	644.658
2230.783	744.526
2237.116	644.316
2243.448	499.697
2249.779	728.105
2256.109	721.461
2262.439	564.079
2268.768	639.474
2275.096	612.474
2281.425	699.592
2287.751	631.513
2294.078	700.579
2300.404	671.816
2306.729	671.750
2313.053	675.882
2319.377	753.053
2325.700	475.579
2332.023	787.513
2338.345	497.711
2344.667	844.895
2350.987	701.382
2357.308	526.855
2363.627	625.342
2369.947	816.658
2376.265	576.868
2382.583	754.342
2388.901	693.987
2395.218	683.737
2401.534	723.132
2407.850	695.987
2414.165	617.526
2420.480	675.895
2426.794	706.842
2433.108	692.329
2439.422	660.158
2445.734	629.066
2452.046	670.921
2458.358	644.250
2464.670	629.974
2470.980	667.329
2477.291	683.329
2483.601	609.697
2489.911	811.382
2496.219	655.658
2502.528	701.882
