# 0Wavelength	 1Intensity
632.437	196.705
633.013	196.821
633.590	198.288
634.166	195.647
634.743	194.096
635.319	195.212
635.896	197.808
636.472	196.981
637.048	195.885
637.625	195.231
638.201	196.891
638.777	193.769
639.353	195.622
639.930	196.955
640.506	197.269
641.082	196.423
641.658	197.494
642.234	196.917
642.810	198.962
643.385	195.564
643.961	194.897
644.537	195.199
645.113	198.141
645.689	198.795
646.264	196.077
646.840	197.436
647.416	199.551
647.991	195.904
648.567	198.179
649.142	196.327
649.718	195.821
650.293	197.724
650.869	197.968
651.444	198.301
652.019	198.628
652.595	195.417
653.170	196.532
653.745	197.282
654.320	201.891
654.895	197.359
655.470	195.391
656.045	197.692
656.620	195.872
657.195	198.179
657.770	197.929
658.345	195.378
658.920	195.987
659.495	197.583
660.069	197.429
660.644	193.128
661.219	196.391
661.793	196.526
662.368	197.513
662.943	198.731
663.517	199.378
664.092	197.487
664.666	197.449
665.240	196.468
665.815	193.135
666.389	198.519
666.963	192.276
667.538	197.692
668.112	194.308
668.686	196.462
669.260	198.327
669.834	198.551
670.408	196.051
670.982	197.538
671.556	195.250
672.130	197.045
672.704	196.442
673.278	195.122
673.852	197.032
674.425	194.423
674.999	195.455
675.573	195.410
676.146	195.256
676.720	196.519
677.294	196.532
677.867	195.276
678.441	196.577
679.014	194.192
679.587	198.724
680.161	196.090
680.734	194.923
681.307	197.141
681.880	195.141
682.454	195.660
683.027	195.571
683.600	194.051
684.173	195.513
684.746	193.128
685.319	193.346
685.892	193.981
686.465	198.647
687.038	195.808
687.611	196.212
688.183	198.923
688.756	198.904
689.329	196.340
689.901	196.910
690.474	195.679
691.047	191.756
691.619	195.192
692.192	196.583
692.764	198.545
693.337	198.301
693.909	195.244
694.481	197.712
695.054	197.295
695.626	196.013
696.198	198.199
696.770	197.513
697.342	194.872
697.914	198.647
698.486	195.269
699.059	195.462
699.630	196.917
700.202	197.314
700.774	195.154
701.346	194.167
701.918	192.583
702.490	195.494
703.061	195.756
703.633	197.154
704.205	193.071
704.776	195.564
705.348	196.000
705.919	196.538
706.491	196.385
707.062	196.173
707.634	197.910
708.205	196.301
708.776	194.468
709.348	197.904
709.919	197.994
710.490	197.673
711.061	194.404
711.632	196.673
712.203	197.250
712.774	195.500
713.345	195.058
713.916	194.487
714.487	192.994
715.058	193.436
715.629	194.660
716.200	196.410
716.770	193.878
717.341	196.686
717.912	197.417
718.482	196.179
719.053	193.724
719.623	194.833
720.194	194.429
720.764	197.167
721.335	191.981
721.905	196.103
722.475	194.737
723.046	196.494
723.616	193.301
724.186	197.532
724.756	196.353
725.326	195.077
725.897	191.686
726.467	195.551
727.037	196.987
727.606	194.692
728.176	193.026
728.746	197.910
729.316	198.705
729.886	194.891
730.456	197.923
731.025	195.654
731.595	193.006
732.165	193.526
732.734	196.295
733.304	194.397
733.873	194.718
734.443	193.923
735.012	194.385
735.581	195.083
736.151	194.949
736.720	195.288
737.289	193.981
737.858	194.359
738.427	197.250
738.997	192.923
739.566	193.506
740.135	197.769
740.704	195.147
741.273	195.519
741.841	193.417
742.410	196.410
742.979	193.660
743.548	193.327
744.117	197.314
744.685	194.109
745.254	196.263
745.823	193.731
746.391	197.737
746.960	194.583
747.528	195.673
748.096	194.769
748.665	195.840
749.233	197.256
749.802	193.468
750.370	194.609
750.938	196.250
751.506	194.577
752.074	193.756
752.642	197.103
753.211	194.346
753.779	191.609
754.346	196.423
754.914	194.923
755.482	195.378
756.050	195.917
756.618	196.615
757.186	194.942
757.753	196.083
758.321	195.923
758.889	194.353
759.456	195.314
760.024	195.103
760.591	198.513
761.159	196.045
761.726	192.269
762.294	196.192
762.861	193.250
763.428	192.756
763.995	196.064
764.563	194.256
765.130	195.487
765.697	193.250
766.264	194.744
766.831	195.327
767.398	194.442
767.965	191.071
768.532	197.526
769.099	194.814
769.665	192.955
770.232	195.135
770.799	193.596
771.366	193.981
771.932	195.609
772.499	195.506
773.065	195.949
773.632	196.865
774.198	193.378
774.765	192.224
775.331	193.212
775.898	194.622
776.464	193.814
777.030	195.551
777.596	195.160
778.162	192.154
778.729	194.199
779.295	193.551
779.861	194.763
780.427	192.474
780.993	195.077
781.558	192.609
782.124	194.558
782.690	192.154
783.256	194.353
783.822	194.442
784.387	193.250
784.953	193.212
785.519	194.474
786.084	196.250
786.650	194.865
787.215	194.077
787.781	193.365
788.346	191.494
788.911	193.660
789.477	192.974
