# #Voltage (V)	 Balanced Pumped	 Balanced Umpumed	 referenceDiode closed	 referenceDiode	 Diode+ Pumped	 Diode+ Unpumped	 Diode- Pumped	 Diode- Unpumped
4.700000000000000178e+00	7.175618494472186804e-01	7.229134586067661461e-01	-1.019090986664538401e-01	-1.010711786943317841e-01	1.421011517691479209e-01	1.421280081971654230e-01	1.970390142892092591e-02	1.978088982516902281e-02
4.750000000000000000e+00	7.105898984317432499e-01	7.173792254864368445e-01	-1.019592306301863871e-01	-1.010174658762077599e-01	1.418648152011694474e-01	1.418307970586061006e-01	1.942817554530120935e-02	1.954813420871745477e-02
4.800000000000000711e+00	7.124268837407649047e-01	7.166540993907568602e-01	-1.018947752478724378e-01	-1.006826559723451031e-01	1.418361683441487497e-01	1.422264817678396409e-01	1.925987533034927840e-02	1.957320019867420102e-02
4.850000000000000533e+00	6.934160519115111221e-01	6.958027008035240213e-01	-1.020147338760830497e-01	-1.008366327194693268e-01	1.419310610573187581e-01	1.422229009102903285e-01	1.966272158952628996e-02	1.987220164417179483e-02
4.900000000000000355e+00	6.645112856767423359e-01	6.702979676998255254e-01	-1.019377455027551532e-01	-1.008813934014914371e-01	1.405810779383233899e-01	1.406759706500239071e-01	1.859383618298779753e-02	1.876571725291144993e-02
4.950000000000000178e+00	6.443724882619202843e-01	6.490150826063812994e-01	-1.019162603752594709e-01	-1.008402135744959627e-01	1.408066719336679151e-01	1.407028270783758361e-01	1.887135249390525793e-02	1.886777163845054089e-02
5.000000000000000000e+00	6.678003124740219398e-01	6.701099720851390051e-01	-1.019556497757530128e-01	-1.007345783633514236e-01	1.405488502242962234e-01	1.407493782200316956e-01	1.894834088984836962e-02	1.913454538300423530e-02
5.049999999999999822e+00	7.002501400409398835e-01	7.077431074172936265e-01	-1.016602292730726109e-01	-1.008616987017696004e-01	1.412900876388435978e-01	1.413276866376951546e-01	1.954634378102617157e-02	1.928673174743112187e-02
5.000000000000000000e+00	7.028677545048862552e-01	7.092470721335426553e-01	-1.019968296029498400e-01	-1.010228371570941752e-01	1.408872412178086286e-01	1.413044110669408604e-01	1.920437206777943218e-02	1.936909142710364906e-02
4.950000000000000178e+00	7.089623930774364702e-01	7.110751055805026866e-01	-1.015635461985774646e-01	-1.010156754485253966e-01	1.409445349309271234e-01	1.411217873562954639e-01	1.909694639870770580e-02	1.910947939342775431e-02
4.900000000000000355e+00	6.992671910231837984e-01	7.028838680832206753e-01	-1.021167882314248099e-01	-1.010317892933317446e-01	1.409713913588598599e-01	1.412936684955451438e-01	1.912559324357029564e-02	1.941743297784162547e-02
4.850000000000000533e+00	7.056912697493855635e-01	7.128852348557482843e-01	-1.017246846550775019e-01	-1.010801308313658553e-01	1.405560119380735995e-01	1.408317379329931396e-01	1.944249896736056221e-02	1.954097249750519696e-02
4.800000000000000711e+00	7.314502511208325064e-01	7.332192004940940588e-01	-1.018750805476709709e-01	-1.009386870754009624e-01	1.411844523554910413e-01	1.411003022132627238e-01	2.200102032988662110e-02	2.207800872659253927e-02
4.750000000000000888e+00	7.078612755864538419e-01	7.126864965210557568e-01	-1.020899318222451696e-01	-1.008437944287147586e-01	1.402552199440142422e-01	1.408621752178239317e-01	2.139764615120701152e-02	2.192582236042047925e-02
4.700000000000001066e+00	6.993620842979522134e-01	7.018525783442478572e-01	-1.018088347379932368e-01	-1.011069872402521330e-01	1.408353187916643601e-01	1.406455333652219253e-01	2.178616898986620448e-02	2.175931257251853199e-02
4.650000000000001243e+00	6.941250637685597580e-01	7.003557749623773310e-01	-1.021866148952786935e-01	-1.008957168194117571e-01	1.407637016485573656e-01	1.408424805042430006e-01	2.188285209267319328e-02	2.198669690733283388e-02
4.600000000000001421e+00	7.113633658760011302e-01	7.135835040450988487e-01	-1.018822422567901148e-01	-1.010675978391782914e-01	1.411808714975784362e-01	1.412435364963310624e-01	2.225168022630471046e-02	2.214425455648065533e-02
4.550000000000001599e+00	7.152933693104921442e-01	7.188366390153834162e-01	-1.021436446405775689e-01	-1.008563274197756959e-01	1.407064079354478636e-01	1.413079919244198124e-01	2.222840466417634261e-02	2.253993910716759266e-02
4.500000000000001776e+00	7.339496985823403818e-01	7.389109934020243742e-01	-1.018983561017382106e-01	-1.013576470614854785e-01	1.407547495065036292e-01	1.406455333652709416e-01	2.236089632378211733e-02	2.219259610779195091e-02
4.450000000000001954e+00	7.386746563595140147e-01	7.454747284032348098e-01	-1.018571762744854142e-01	-1.009476392112022974e-01	1.409212593600564778e-01	1.410465893575813812e-01	2.177184556736097218e-02	2.176826471198422749e-02
4.400000000000002132e+00	7.241667631669588268e-01	7.302757257782889200e-01	-1.018482241386744064e-01	-1.009906094664716619e-01	1.408281570759741530e-01	1.410286850717458462e-01	2.129917262041010340e-02	2.133856203233590321e-02
4.350000000000002309e+00	6.991132136286649645e-01	7.053528770839047057e-01	-1.019502784937512396e-01	-1.010658074125952988e-01	1.406115152229681364e-01	1.410627032141559545e-01	2.125262149689402177e-02	2.168411460460560602e-02
4.300000000000002487e+00	6.892568733724367958e-01	6.977936636375984270e-01	-1.016172590185073776e-01	-1.012949821061123606e-01	1.411611767837730180e-01	1.412560694965333541e-01	2.212814070550349690e-02	2.197774476759885645e-02
4.250000000000002665e+00	7.016269832908272885e-01	7.033511716852688389e-01	-1.020093625943308269e-01	-1.009172019473763560e-01	1.413044110671469455e-01	1.416320594901617214e-01	2.274404788054846735e-02	2.296964178731913248e-02
4.200000000000002842e+00	6.919335724609220195e-01	7.009161810225721378e-01	-1.018088347375853686e-01	-1.010156754489392322e-01	1.418630247724292082e-01	1.416589159182639057e-01	1.969494929064131289e-02	1.946398410172905588e-02
4.150000000000003020e+00	6.686650919178309671e-01	6.717267339590509145e-01	-1.018607571295628428e-01	-1.009476392113172749e-01	1.413133632098725889e-01	1.412775546387116110e-01	1.906650912580190940e-02	1.922764762929415894e-02
4.100000000000003197e+00	6.655676411966389150e-01	6.692416114813121153e-01	-1.019216316560614261e-01	-1.011123585221531951e-01	1.413241057809618839e-01	1.415192624921518261e-01	1.922048591791588115e-02	1.923301891282456350e-02
4.050000000000003375e+00	6.537292934015696000e-01	6.590665764632206436e-01	-1.017819783286430108e-01	-1.007685964824544533e-01	1.405918205086227890e-01	1.407708633625561478e-01	1.845597324071588177e-02	1.881405880373576700e-02
4.000000000000003553e+00	6.468343337784531188e-01	6.524741996527593235e-01	-1.017228942272570408e-01	-1.011034063850618087e-01	1.404593287970784532e-01	1.408030910761811638e-01	1.844702110228489678e-02	1.862785431112721352e-02
