# #Voltage (V)	 Balanced Pumped	 Balanced Umpumed	 referenceDiode closed	 referenceDiode	 Diode+ Pumped	 Diode+ Unpumped	 Diode- Pumped	 Diode- Unpumped
1.850000000000000089e+00	3.989221576216674392e-01	4.009829437257431128e-01	-1.021203690858463881e-01	-1.009100402378704103e-01	1.410107807864421359e-01	1.413330579240937857e-01	1.980416538679511188e-02	2.001901672566011592e-02
1.900000000000000133e+00	4.274526729627622368e-01	4.296925021059330163e-01	-1.021132073768929588e-01	-1.011481670679655887e-01	1.420814570549688571e-01	1.420886187703436776e-01	2.032876073887097262e-02	2.040574913504879240e-02
1.950000000000000178e+00	4.255064743411196559e-01	4.316100537677652893e-01	-1.019681827667504592e-01	-1.012090415962408757e-01	1.418361683445122645e-01	1.419794026280516985e-01	2.020164036339129610e-02	2.036098843943991502e-02
2.000000000000000000e+00	4.164791217695048009e-01	4.161622154874319301e-01	-1.015707079088397635e-01	-1.012251554417175625e-01	1.416141552046326357e-01	1.414404836361071172e-01	1.884628650474952372e-02	1.866008201168590022e-02
2.050000000000000266e+00	4.348740099183619479e-01	4.360395804996388680e-01	-1.016244207272096883e-01	-1.013522757793335338e-01	1.408926125033581334e-01	1.405792875093164751e-01	1.814801965740562087e-02	1.797613858761737751e-02
2.100000000000000089e+00	4.886191781605493945e-01	4.927711891242161912e-01	-1.017819783287348817e-01	-1.010371605764872338e-01	1.411450629271442381e-01	1.412023566403872998e-01	1.990621977259728406e-02	1.995635175161715111e-02
2.149999999999999911e+00	5.102941447375252126e-01	5.144139284620639074e-01	-1.018679188387808382e-01	-1.012251554411962018e-01	1.419256897715387711e-01	1.417842459164311286e-01	2.035919801178916883e-02	2.023386806414434122e-02
2.200000000000000178e+00	5.075476226795688772e-01	5.140558421849006354e-01	-1.019126795205128055e-01	-1.013809226159265303e-01	1.417878267732502473e-01	1.415174720636339645e-01	2.033950330570741954e-02	1.990801020080600059e-02
2.250000000000000000e+00	4.968659062776573099e-01	4.982481195567491361e-01	-1.018840326841973648e-01	-1.012609639870492989e-01	1.407278930780229698e-01	1.413008302098829050e-01	1.909515597090499783e-02	1.942638511698831574e-02
2.300000000000000266e+00	5.291097946855826128e-01	5.340907771538226934e-01	-1.020039913122442604e-01	-1.012681256968160359e-01	1.415443284918256883e-01	1.416839819178570270e-01	1.971822485162198421e-02	1.964660773874135624e-02
2.350000000000000089e+00	5.238763616273597323e-01	5.273265241257145686e-01	-1.018321102929097555e-01	-1.010890829672915353e-01	1.419525461995733151e-01	1.422408051955550701e-01	1.978805153642260520e-02	1.991696233951786854e-02
2.400000000000000355e+00	5.158015130771568257e-01	5.188703136722656595e-01	-1.019484880663789617e-01	-1.011016159582376200e-01	1.413796090660961180e-01	1.417484373455360214e-01	1.952664907489922580e-02	1.986324950526182839e-02
2.450000000000000178e+00	5.359707305141541145e-01	5.415568790130190768e-01	-1.020469615670562269e-01	-1.010299988668887788e-01	1.419973069137442090e-01	1.421244273399725477e-01	1.932791158737411433e-02	1.953560121409089745e-02
2.500000000000000000e+00	5.483068089413778434e-01	5.509476965220390099e-01	-1.018392720018613390e-01	-1.008706508377350403e-01	1.416481733468839821e-01	1.420599719130216654e-01	1.919541992875507808e-02	1.953918206959950887e-02
2.550000000000000266e+00	5.732457435555050607e-01	5.767209735085496725e-01	-1.016172590183603563e-01	-1.010908733949586330e-01	1.417699224887364329e-01	1.416517542045293010e-01	1.946219367363648603e-02	1.917751565060563795e-02
2.600000000000000089e+00	5.814906851555909917e-01	5.877482479131256321e-01	-1.019090986665814463e-01	-1.011660713414370277e-01	1.421548646253891213e-01	1.420170016275587588e-01	1.945324153409226306e-02	1.940310955540732255e-02
2.650000000000000355e+00	5.599195535551511060e-01	5.655110742311244554e-01	-1.015402706440522024e-01	-1.013701800524637320e-01	1.422318530528219327e-01	1.420671336262996354e-01	1.973254827406708059e-02	1.943712768375293470e-02
2.700000000000000178e+00	5.608863871806532009e-01	5.661484683714621546e-01	-1.017873496104277908e-01	-1.011427957862816168e-01	1.415586519197514215e-01	1.415729753488609299e-01	1.937983399402783136e-02	1.942996597279945600e-02
2.750000000000000000e+00	5.821853737366126103e-01	5.820940613409716358e-01	-1.019717636209129252e-01	-1.008581178465711436e-01	1.411701289269288728e-01	1.414995677787332096e-01	1.895013131776660323e-02	1.913991666652603563e-02
2.800000000000000266e+00	5.502386855762475548e-01	5.572661326733666654e-01	-1.017712357649966648e-01	-1.004176727327754648e-01	1.404253106549044616e-01	1.408120432188317006e-01	1.850610521977880465e-02	1.896266431245585346e-02
2.850000000000000089e+00	5.823715783631299159e-01	5.867599292090941443e-01	-1.016530675634359782e-01	-1.007739677638317816e-01	1.413813994940681384e-01	1.411253682132219966e-01	1.936013928785502297e-02	1.925092319070548924e-02
2.900000000000000355e+00	5.873489812378090980e-01	5.910641296339060879e-01	-1.017121516641739387e-01	-1.012734969789016309e-01	1.409391636451372554e-01	1.408192049332674112e-01	1.896624516818719644e-02	1.898235901834827849e-02
2.950000000000000178e+00	5.642882090041911880e-01	5.687624999632634459e-01	-1.020272668670685889e-01	-1.011553287775190380e-01	1.403143040866186853e-01	1.404575383688455581e-01	1.836645185041186484e-02	1.858846489935799332e-02
3.000000000000000000e+00	5.726441575384709770e-01	5.785848128927070233e-01	-1.016136781635584019e-01	-1.008957168201742860e-01	1.410286850720457452e-01	1.410000382154234788e-01	1.886956206598251057e-02	1.875676511363300394e-02
