# time (ps)	 sum signal (V)	 MOKE (V)	 field up signal (V) 	 field down signal (V)
190.0	0.007722761683604293	0.0010298777366445494	0.004376319710124421	0.0033464419734798717
191.0434782608696	0.005104866357330956	-0.00033879203568856764	0.002383037160821194	0.002721829196509762
192.08695652173913	0.005735924552186258	-0.00014441903358759778	0.0027957527592993303	0.002940171792886928
193.13043478260866	0.0049052563364477	0.0007511080447488994	0.0028281821905982996	0.0020770741458494
194.17391304347825	0.005674289482292136	-0.0009203000383204846	0.0023769947219858256	0.00329729476030631
195.21739130434784	0.005186846011717386	0.00015529910636845334	0.0026710725590429196	0.0025157734526744663
196.26086956521738	0.005367925330331244	0.00019538228622363596	0.00278165380827744	0.002586271522053804
197.30434782608697	0.004312065014648883	-0.0008165678528234827	0.0017477485809127002	0.002564316433736183
198.34782608695653	0.005110909061178462	-0.00019296195061731247	0.0024589735552805747	0.002651935505897887
199.3913043478261	0.006420159806959841	0.0011348197450064268	0.003777489775983134	0.002642670030976707
200.43478260869566	0.006798432213358116	0.0007468788273472665	0.0037726555203526912	0.0030257766930054247
201.47826086956522	0.0046853020133150736	-0.0007357971837659849	0.0019747524147745443	0.0027105495985405292
202.52173913043478	0.007079820244913493	0.00016899639726419835	0.0036244083210888456	0.0034554119238246472
203.56521739130434	0.0059669573447718866	-6.20365170961451e-05	0.0029524604138378707	0.003014496930934016
204.6086956521739	0.005347983967487258	-0.0006080946184168212	0.002369944674535218	0.0029780392929520394
205.65217391304347	0.003750900811065716	0.00019578457757546408	0.00197334269432059	0.001777558116745126
206.69565217391303	0.005474679371329547	-0.000656637215065467	0.00240902107813204	0.003065658293197507
207.73913043478262	0.006161934163507132	-0.0008963311109075889	0.0026328015262997717	0.0035291326372073606
208.78260869565216	0.0045584053604637575	-0.00017181275923999761	0.00219329630061188	0.0023651090598518776
209.82608695652175	0.0065091881675668345	0.0006324700637671682	0.0035708291156670013	0.002938359051899833
210.86956521739134	0.0076399770967736785	0.00011360452328794401	0.0038767908100308113	0.0037631862867428673
211.91304347826087	0.006064445731726778	1.208674767243234e-05	0.003038266239699605	0.003026179492027173
212.9565217391304	0.005522819596563783	0.001000067088998774	0.0032614433427812783	0.0022613762537825044
214.0	0.005788093976476116	0.0004950997990135764	0.0031415968877448464	0.00264649708873127
215.0	0.006045915681556269	0.00033678158111638545	0.003191348631336327	0.0028545670502199416
215.52631578947367	0.003276750453904284	-0.0010554558535163933	0.0011106473001939454	0.0021661031537103387
216.05263157894737	0.03210442110295883	-0.003467689231513943	0.014318365935722444	0.017786055167236386
216.57894736842104	0.09408311793091693	0.04861952624453565	0.0713513220877263	0.02273179584319064
217.1052631578947	0.0034618670789449274	0.028376685937731003	0.015919276508337965	-0.012457409429393038
217.6315789473684	0.007831136475820608	0.034129731488796625	0.020980433982308616	-0.013149297506488009
218.15789473684208	0.01211621069678663	0.02972138793603958	0.020918799316413106	-0.008802588619626475
218.68421052631575	0.007987034878447222	0.01905482679126945	0.013520930834858336	-0.005533895956411114
219.2105263157895	0.04861064039076504	0.005214454695203513	0.026912547542984278	0.021698092847780764
219.73684210526315	-0.0015362539425253785	-0.00027010887729006505	-0.0009031814099077218	-0.0006330725326176567
220.26315789473685	0.03225266403230655	-0.01656300925612282	0.007844827388091863	0.024407836644214684
220.7894736842105	-0.005486570674932009	-0.020827753160255993	-0.013157161917594001	0.007670591242661992
221.31578947368425	0.0064682947772341515	-0.01672596844446378	-0.005128836833614814	0.011597131610848965
221.84210526315792	0.01717272041271549	-0.025707420480151663	-0.004267350033718087	0.021440070446433576
222.3684210526316	-0.013989852269466488	-0.0354365701548061	-0.024713211212136293	0.010723358942669806
222.8947368421053	-0.00036095750609203836	-0.022424432275526776	-0.011392694890809407	0.011031737384717369
223.42105263157896	0.005495621035318782	-0.02210577843115738	-0.0083050786979193	0.013800699733238081
223.94736842105263	0.005350999925270827	-0.020252686032850742	-0.007450843053789957	0.012801842979060785
224.47368421052633	-0.01877686927892823	-0.025812978306629444	-0.022294923792778837	0.0035180545138506075
225.0	-0.014790703806946845	-0.015739406424464933	-0.015265055115705889	0.00047435130875904397
227.0	0.013047369636110348	-0.03424554648118093	-0.010599088422535291	0.02364645805864564
229.00264317180617	-0.018254389276592176	-0.05339666259459319	-0.035825525935592684	0.017571136659000508
231.0052863436123	0.0037095958091546977	-0.03680140641303431	-0.016545905301939806	0.020255501111094504
233.0079295154185	-0.027589946188452535	-0.04944958056471396	-0.03851976337658325	0.010929817188130714
235.01057268722468	0.005217242297282015	-0.05009351802948789	-0.022438137866102936	0.02765538016338495
237.0132158590308	0.041111639363287183	-0.056782765305371935	-0.007835562971042376	0.04894720233432956
239.015859030837	0.005104640863714843	-0.060848102402958376	-0.027871730769621766	0.03297637163333661
241.01850220264316	0.007307403271193613	-0.0653760915239141	-0.029034344126360245	0.03634174739755386
243.02114537444933	0.005642641429480802	-0.06753595129818891	-0.030946654934354056	0.03658929636383486
245.02378854625553	0.01117512949343466	-0.06479961815964388	-0.026812244333104612	0.03798737382653927
247.02643171806167	0.006695883492884608	-0.0710123102929471	-0.03215821340003125	0.03885409689291586
249.02907488986784	0.003408055678713995	-0.07417404701409575	-0.035382995667690875	0.03879105134640487
251.031718061674	-0.009238504224220304	-0.0831474568742933	-0.0461929805492568	0.0369544763250365
253.03436123348015	0.004467733988515049	-0.07669607308516421	-0.03611416954832458	0.04058190353683963
255.03700440528635	0.003658012725796675	-0.08232584716086354	-0.03933391721753343	0.04299192994333011
