# time (ps)	 sum signal (V)	 MOKE (V)	 field up signal (V) 	 field down signal (V)
190.0	0.006137764318391317	0.0009128512030579933	0.0035253077607246552	0.002612456557666662
191.0434782608696	0.004980386552869587	-0.0006731546799863541	0.0021536159364416163	0.0028267706164279705
192.08695652173913	0.004908881677968477	-0.0009239259976484421	0.0019924778401600174	0.0029164038378084595
193.13043478260866	0.006127894997173616	0.0001903471946519686	0.0031591210959127924	0.002968773901260824
194.17391304347825	0.0038912922638947994	-0.0007680249542443424	0.0015616336548252285	0.002329658609069571
195.21739130434784	0.006725113882013967	-0.0003734360394789804	0.003175838921267493	0.0035492749607464735
196.26086956521738	0.005904717501386922	-0.0023036733865989673	0.0018005220573939773	0.0041041954439929446
197.30434782608697	0.006210477402997822	-0.0008296598304839142	0.0026904087862569537	0.003520068616740868
198.34782608695653	0.006552496144137943	0.0015777504384922314	0.004065123291315087	0.0024873728528228556
199.3913043478261	0.006883432940600856	-0.0002900464801033481	0.003296693230248754	0.003586739710352102
200.43478260869566	0.006101306989549318	-0.00042560446973678723	0.0028378512599062655	0.0032634557296430527
201.47826086956522	0.005861815083005914	-0.0010071125948889897	0.002427351244058462	0.003434463838947452
202.52173913043478	0.005052096050816426	0.0018373846837923397	0.003444740367304383	0.0016073556835120434
203.56521739130434	0.00611419928478317	0.0014689817287286272	0.0037915905067558986	0.0023226087780272714
204.6086956521739	0.006136153264728994	-9.869473268986351e-05	0.0030187292660195653	0.0031174239987094288
205.65217391304347	0.005588484453513273	0.0001266979474616875	0.0028575912004874804	0.002730893253025793
206.69565217391303	0.005795144308369499	0.0012631264360375705	0.0035291353722035346	0.002266008936165964
207.73913043478262	0.006958764892225494	-0.0002848096407627454	0.0033369776257313744	0.0036217872664941198
208.78260869565216	0.007199666383443312	-0.0015964769378000038	0.0028015947228216542	0.004398071660621658
209.82608695652175	0.006734782350450913	0.00012005055146865895	0.003427416450959786	0.003307365899491127
210.86956521739134	0.004985422726072636	-0.0004002258837153827	0.0022925984211786266	0.0026928243048940093
211.91304347826087	0.0071642166141682034	0.00018088047322480094	0.003672548543696502	0.0034916680704717012
212.9565217391304	0.006109161782111766	-0.0016424016514800244	0.002233380065315871	0.0038757817167958952
214.0	0.005774598633927028	3.4042515680413055e-05	0.0029043205748037204	0.0028702780591233074
215.0	0.003919088856343261	-0.0004691129823780338	0.0017249879369826138	0.0021941009193606476
215.52631578947367	0.004565858881311169	0.0005216875269420385	0.0025437732041266037	0.0020220856771845652
216.05263157894737	0.05787146419638556	-0.017693590717095364	0.020088936739645097	0.03778252745674046
216.57894736842104	0.1769904651099936	0.10026763317657439	0.138629049143284	0.03836141596670961
217.1052631578947	0.0027161974664365457	0.020108269054083125	0.011412233260259835	-0.00869603579382329
217.6315789473684	0.008221493145046568	0.01826726467151356	0.013244378908280063	-0.005022885763233495
218.15789473684208	0.018469899862265493	0.024100882198371976	0.021285391030318734	-0.0028154911680532413
218.68421052631575	0.00982159643396778	0.015441701684554235	0.012631649059261008	-0.0028100526252932273
219.2105263157895	0.089090444663601	0.013296973282125701	0.05119370897286335	0.03789673569073765
219.73684210526315	-0.005257138115525556	0.013852669254252686	0.004297765569363565	-0.009554903684889121
220.26315789473685	0.057918203748379096	0.0023645256876826254	0.03014136471803086	0.027776839030348235
220.7894736842105	-0.01956019826059248	-0.0030286054711513993	-0.01129440186587194	-0.00826579639472054
221.31578947368425	0.0023455738663256537	0.007229679361713662	0.004787626614019658	-0.002442052747694004
221.84210526315792	0.026876481999158208	-0.011800362788814023	0.007538059605172093	0.019338422393986116
222.3684210526316	-0.035761468975810035	-0.02282004024700826	-0.029290754611409148	-0.006470714364400887
222.8947368421053	-0.0030420940423469267	-0.002337113512542094	-0.0026896037774445103	-0.0003524902649024164
223.42105263157896	0.0071372233951534775	-0.008468226153951305	-0.000665501379398914	0.0078027247745523914
223.94736842105263	0.009801644538303664	-0.016332588750920515	-0.0032654721063084258	0.01306711664461209
224.47368421052633	-0.0498153651622156	-0.028058859646333173	-0.03893711240427439	-0.010878252757941215
225.0	-0.023959483364981563	-0.014393904167707014	-0.019176693766344288	-0.004782789598637274
227.0	0.010608127137905432	-0.05963976059547299	-0.02451581672878378	0.03512394386668921
229.00264317180617	-0.030168618946787337	-0.14576770618692886	-0.0879681625668581	0.05779954362007077
231.0052863436123	0.011234524626935985	-0.12554580413988592	-0.057155639756474974	0.06839016438341096
233.0079295154185	-0.019054300083889322	-0.1755507213814742	-0.09730251073268176	0.07824821064879244
235.01057268722468	0.012442819065770078	-0.2012915761987548	-0.09442437856649236	0.10686719763226243
237.0132158590308	0.0773461649209381	-0.24406011453659598	-0.08335697480782894	0.16070313972876704
239.015859030837	0.0073437699152665015	-0.2735333767894128	-0.13309480343707317	0.14043857335233967
241.01850220264316	0.020372806016265232	-0.30472636912290896	-0.14217678155332186	0.1625495875695871
243.02114537444933	0.011363945573616308	-0.3421523859504306	-0.16539422018840716	0.17675816576202347
245.02378854625553	0.03027694569232034	-0.373580235643342	-0.1716516449755108	0.20192859066783114
247.02643171806167	0.011782033288469301	-0.41213526802100575	-0.2001766173662682	0.2119586506547375
249.02907488986784	0.01351947547475077	-0.45042179078628386	-0.21845115765576656	0.23197063313051733
251.031718061674	0.006964114702980806	-0.5177291577825327	-0.255382521539776	0.2623466362427568
253.03436123348015	0.015645226500620946	-0.5238518315810589	-0.25410330254021896	0.2697485290408399
255.03700440528635	0.014409293622181296	-0.5575676530075513	-0.271579179692685	0.2859884733148663
