# 0T(K)  1F(mJ/cm²)  2delay(ps)  3strainCOM(permille)  4STDrelative(%)  5Integralrelative(%)  6strainFit(permille)  7widthFit(%)  8areaFit(%)
3.000000000000000000e+02 3.000000000000000000e+02 -1.000000000000000000e+01 2.643093888841075833e-03 -3.569340271248068408e+00 6.103511988606729055e-01 -1.174263386549882909e-01 3.260795756252649613e-01 1.654581695725269475e+00
3.000000000000000000e+02 3.000000000000000000e+02 -9.000000000000000000e+00 -1.306290463773490153e-02 1.478935062363518460e+00 -8.541228151405384772e-02 1.316215049760903477e-02 -4.996289028029243240e-01 -5.349448927634367079e-01
3.000000000000000000e+02 3.000000000000000000e+02 -8.000000000000000000e+00 -7.390269713983645128e-02 -2.178988812277339537e+00 -8.091204790047111517e-02 8.004341411018287000e-02 -2.506288500435338573e-01 3.325073436637438484e-01
3.000000000000000000e+02 3.000000000000000000e+02 -7.000000000000000000e+00 -1.382445285240891941e-01 3.290440980029652795e+00 -3.966289911669373058e+00 -5.201806161724861072e-02 5.345912495629883132e-01 -5.146653017951742015e+00
3.000000000000000000e+02 3.000000000000000000e+02 -6.000000000000000000e+00 7.632468053835576860e-02 1.381203384030389447e+00 -1.023743082878143529e-01 -6.262015442742555060e-02 4.706377640618709002e+00 8.850927533110490852e-01
3.000000000000000000e+02 3.000000000000000000e+02 -5.000000000000000000e+00 1.168187063723214458e-01 2.320588412706458215e+00 -1.904837129324026046e+00 8.460482047179958276e-02 1.374071479611052027e+00 -2.055992523196217281e+00
3.000000000000000000e+02 3.000000000000000000e+02 -4.000000000000000000e+00 -9.725276951392936020e-02 3.114423873192390113e-01 1.870014008129164074e+00 8.960268943593721613e-02 -8.010476651025161265e-01 1.460663897263524413e+00
3.000000000000000000e+02 3.000000000000000000e+02 -3.000000000000000000e+00 -2.816263452223895514e-01 1.694197785961088387e+00 2.641946586424225085e+00 -1.445194206889152400e-01 -3.003318923177313859e+00 1.798234770001005289e+00
3.000000000000000000e+02 3.000000000000000000e+02 -2.000000000000000000e+00 2.933021147774004245e-01 -3.209688797697132667e+00 1.208334652952208488e-01 6.122243355838890427e-02 -8.822358400590162297e-01 6.831590563843179531e-01
3.000000000000000000e+02 3.000000000000000000e+02 -1.000000000000000000e+00 1.150006494624355446e-01 -1.518790131187710557e+00 8.966804199865938685e-01 4.794846731511840515e-02 -1.504259764232710461e+00 9.233509175624046161e-01
3.000000000000000000e+02 3.000000000000000000e+02 0.000000000000000000e+00 -7.800405230118893918e-02 -1.556862383703694341e+00 5.691783975564864706e-01 1.438484904194572422e-01 -2.956614236355668446e+00 5.078107929906089391e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.000000000000000000e+00 -2.188874631044714081e-01 2.034011116442521860e+00 -1.638130924987984516e+00 -8.853081734178390449e-02 2.911016832116859021e+00 -1.633349115651166361e+00
3.000000000000000000e+02 3.000000000000000000e+02 2.000000000000000000e+00 -9.814748831727891643e-02 2.564589316270579067e-01 2.118794438959228921e-01 1.550246861891874384e-01 -7.380027052705944168e-01 -2.234023221866663911e-01
3.000000000000000000e+02 3.000000000000000000e+02 3.000000000000000000e+00 -2.910564891393908060e-01 -6.932626230583517346e-01 1.014536070133956525e+00 2.788636661957705383e-03 1.438090241117812473e+00 1.353068282221671748e+00
3.000000000000000000e+02 3.000000000000000000e+02 4.000000000000000000e+00 -8.899675460787013700e-03 4.822598176029300632e+00 -1.109357127817428151e-01 -4.357542855413495259e-02 6.976737111292627969e-01 -1.010471087477102348e+00
3.000000000000000000e+02 3.000000000000000000e+02 5.000000000000000000e+00 -1.760745750135968013e-01 7.270228711158580603e-01 -3.996744623278977726e-01 9.512567350383345499e-02 -2.839988963326129046e+00 -9.581931045757663412e-01
3.000000000000000000e+02 3.000000000000000000e+02 6.000000000000000000e+00 -2.172278437559916342e-01 -1.271570712435384998e+00 6.283834788575922703e-01 -2.827755837079789364e-02 -3.475927262864422218e+00 -2.372713663549270435e-01
3.000000000000000000e+02 3.000000000000000000e+02 7.000000000000000000e+00 -7.784029418125838484e-01 1.347300495446190460e+00 1.181908495098821010e+00 -8.192869880503851343e-01 1.813405123429191190e-01 6.785109584191367782e-01
3.000000000000000000e+02 3.000000000000000000e+02 8.000000000000000000e+00 -1.025435938813273662e+00 -6.097687999101901735e-01 1.879354734973410102e+00 -1.175904293472095574e+00 -1.453409453553967001e+00 2.179219114502861654e+00
3.000000000000000000e+02 3.000000000000000000e+02 9.000000000000000000e+00 -1.026529644138099995e+00 3.275775369353224775e+00 4.278058219416819519e+00 -1.045130808409898915e+00 -7.190028158839756323e-01 3.333607145737797595e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.000000000000000000e+01 -1.122130208404185786e-01 -7.493112159821494478e-01 2.662683061397453255e+00 2.076347168707816659e-01 -2.701749169692829078e+00 2.042206941833979883e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.100000000000000000e+01 9.738132913406523095e-01 1.073951970687275492e-01 -1.464806686818920678e+00 1.347774317700895397e+00 4.220908553332810564e-01 -1.095985561577920375e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.200000000000000000e+01 1.051966366495659333e+00 -1.323134708622761391e+00 -1.071066836603645323e+00 1.359857092656791888e+00 -4.067203207185859704e+00 -1.668074722676392563e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.300000000000000000e+01 6.398887610977613827e-01 2.185270688741291156e+00 5.739722041554441434e-01 7.637466036084067378e-01 1.976098071081782592e+00 7.560873749958745282e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.400000000000000000e+01 4.993733842996869177e-01 2.825570420561237750e+00 2.084025622277417167e+00 6.723796197931776186e-01 2.502534486847670880e+00 1.722722195240756982e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.500000000000000000e+01 4.195262110134376221e-01 1.910157237358749427e+00 1.462207900364758784e+00 5.403456052292517908e-01 1.609382190015523628e+00 1.653980413353976164e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.600000000000000000e+01 3.874365491723974486e-01 -6.253257960049827258e-01 -1.467517970262442351e+00 2.639237587084050651e-01 -4.421482131196217580e+00 -1.710912387489588182e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.700000000000000000e+01 6.122639410422808098e-02 3.310267012490738292e+00 8.356314519895871040e-01 2.165526903553341431e-01 2.331393665887965039e+00 6.783231663488478169e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.800000000000000000e+01 -1.685947145467938391e-01 2.652153212048205422e+00 3.987752637489170304e+00 -8.827486450409267882e-02 1.180379326035314147e+00 3.659042497134490368e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.900000000000000000e+01 1.888750979017891074e-01 4.364830247831086307e-02 -1.043863948981117007e+00 2.777346706023490763e-01 -3.123697863760706017e+00 -1.596532830905310618e+00
