	Diodesignal	MinusDiode	PlusDiode	ReferenzDiode	chopper	StagePosition	Loops	MagneticField
0	-0.5135243066112261	0.14579220976419255	0.01883115738956904	-0.10184061482242696	1	190.0	1	5.274963703031238
1	-0.5154499107285784	0.14581235208621657	0.018875470477647597	-0.10111871453922343	0	190.0	1	5.274963703031238
2	-0.5044868583110269	0.14575434219972397	0.01874011413539351	-0.1017012300581274	1	191.0434782608696	1	5.274963703031238
3	-0.5105086010927465	0.1457809300646486	0.01876186783309224	-0.10106070469542992	0	191.0434782608696	1	5.274963703031238
4	-0.4920461666393856	0.14558917516408937	0.018800541074376523	-0.1019654971260874	1	192.08695652173913	1	5.274963703031238
5	-0.49622287443236757	0.14560528902181566	0.018881916018303895	-0.10107601284838412	0	192.08695652173913	1	5.274963703031238
6	-0.49634372825258305	0.1453265192936785	0.01831148571641053	-0.10186559128308233	1	193.13043478260866	1	5.274963703031238
7	-0.5000491061916562	0.1455255254294152	0.01833968495466403	-0.1009148743924235	0	193.13043478260866	1	5.274963703031238
8	-0.5005478296686959	0.14584216272188077	0.0187175547443865	-0.10198966789402288	1	194.17391304347825	1	5.274963703031238
9	-0.504563399048021	0.1459348174000048	0.01877556460588716	-0.10119203253697102	0	194.17391304347825	1	5.274963703031238
10	-0.4922419498234765	0.14595979387826125	0.018622483027383046	-0.10209601927478801	1	195.21739130434784	1	5.274963703031238
11	-0.4979696149033693	0.14586472212196508	0.01867565873358682	-0.10129999530205767	0	195.21739130434784	1	5.274963703031238
12	-0.42746994712732467	0.14648188285039607	0.018738502749810582	-0.10197033127963284	1	196.26086956521738	1	5.274963703031238
13	-0.4312115810503366	0.14639325663631733	0.018797318303670124	-0.10106876161798334	0	196.26086956521738	1	5.274963703031238
14	-0.4486193637364159	0.14503083001542869	0.01808347473456206	-0.10209118512152968	1	197.30434782608697	1	5.274963703031238
15	-0.44983676445564336	0.14520083120813018	0.01809314304468016	-0.10129113268776	0	197.30434782608697	1	5.274963703031238
16	-0.4562879409479237	0.1459952443642047	0.018881110325469894	-0.10195341174182752	1	198.34782608695653	1	5.274963703031238
17	-0.4600891961805448	0.14601699807222498	0.01878201014588572	-0.10138862145356921	0	198.34782608695653	1	5.274963703031238
18	-0.5058452551156916	0.14567135583632154	0.01812375936032373	-0.10216530881106428	1	199.3913043478261	1	5.274963703031238
19	-0.5096900178055621	0.14574467388666068	0.018191437531888895	-0.10142004345252018	0	199.3913043478261	1	5.274963703031238
20	-0.5029246212856809	0.14597590773539926	0.01869418966145956	-0.10216530881122139	1	200.43478260869566	1	5.274963703031238
21	-0.5052756308430462	0.14607500795810607	0.018790067071105622	-0.10113482838526817	0	200.43478260869566	1	5.274963703031238
22	-0.5209326454515114	0.14602424930736746	0.018465372987224626	-0.10209521358284217	1	201.47826086956522	1	5.274963703031238
23	-0.5257514899647561	0.14620230742899148	0.018508880382714966	-0.10126132207315183	0	201.47826086956522	1	5.274963703031238
24	-0.5293674361788874	0.1455416392855683	0.018402528970712765	-0.10224668373111713	1	202.52173913043478	1	5.274963703031238
25	-0.5336811118070259	0.14579220976490467	0.01852821700406937	-0.10128952130244055	0	202.52173913043478	1	5.274963703031238
26	-0.47014584450109065	0.14594206863538076	0.018759450755290022	-0.10200658743205188	1	203.56521739130434	1	5.274963703031238
27	-0.47590815424690175	0.14619989035562345	0.01879570691887779	-0.10122426022830872	0	203.56521739130434	1	5.274963703031238
28	-0.4640298359270403	0.1458445797995739	0.01888191601799365	-0.10217819988752613	1	204.6086956521739	1	5.274963703031238
29	-0.46549538981633964	0.1459614052647608	0.018771536143236997	-0.10114046823098775	0	204.6086956521739	1	5.274963703031238
30	-0.4307233316294238	0.14701364013782536	0.019496659409066305	-0.10202834112385009	1	205.65217391304347	1	5.274963703031238
31	-0.43424742871166194	0.1469129285305703	0.019485379713724996	-0.10124520822765408	0	205.65217391304347	1	5.274963703031238
32	-0.45433736041611233	0.14599282728548188	0.0191026757677236	-0.10198161097104107	1	206.69565217391303	1	5.274963703031238
33	-0.45870340575577456	0.14601135822147218	0.01909381314992927	-0.10106553884863961	0	206.69565217391303	1	5.274963703031238
34	-0.44460460026230153	0.14598235327834472	0.019213055642383937	-0.10197758251005502	1	207.73913043478262	1	5.274963703031238
35	-0.4507786185714477	0.14601619237856736	0.019257368730899685	-0.10110260069371396	0	207.73913043478262	1	5.274963703031238
36	-0.4026183755994978	0.14509045128705844	0.01875703367785006	-0.10191796128129077	1	208.78260869565216	1	5.274963703031238
37	-0.40764992248333903	0.145084005744894	0.018732862902343776	-0.10114691376925686	0	208.78260869565216	1	5.274963703031238
38	-0.4363124174761719	0.1461507430868853	0.0192493118060736	-0.10180758143935159	1	209.82608695652175	1	5.274963703031238
39	-0.43976158518929714	0.1461418804650687	0.019273482581719775	-0.10127018468780319	0	209.82608695652175	1	5.274963703031238
40	-0.4284665881698054	0.14570197216489864	0.01859347809736468	-0.10212099573602725	1	210.86956521739134	1	5.274963703031238
41	-0.43275689839208015	0.1457003607792247	0.018649070881006657	-0.10122828868975929	0	210.86956521739134	1	5.274963703031238
42	-0.42811691780902805	0.14504936095113174	0.01816082121594909	-0.10217658850319354	1	211.91304347826087	1	5.274963703031238
43	-0.4307064120894639	0.14510011960116148	0.018160015523583907	-0.1012967725335427	0	211.91304347826087	1	5.274963703031238
44	-0.4893720747737238	0.1465108877936564	0.01886499647501946	-0.10190829297402397	1	212.9565217391304	1	5.274963703031238
45	-0.4900327423258842	0.1463884224794224	0.01883438015944375	-0.10107037300251501	0	212.9565217391304	1	5.274963703031238
46	-0.5115479439644439	0.14663496449409985	0.01853546823584656	-0.10199047358653057	1	214.0	1	5.274963703031238
47	-0.5122569529830483	0.14655439520801686	0.018530634080573604	-0.1011992837674225	0	214.0	1	5.274963703031238
48	-0.5470676866074086	0.14513476439474565	0.01810442273974988	-0.10208473958350807	1	215.0	1	5.274963703031238
49	-0.5483866045818611	0.14507272604450644	0.018112479665074843	-0.1013378628397	0	215.0	1	5.274963703031238
50	-0.5332130048647605	0.14597751912185214	0.01858300409458049	-0.10208071112184537	1	215.52631578947367	1	5.274963703031238
51	-0.5346713076007767	0.14598315897154937	0.018644236725560516	-0.1012895213031486	0	215.52631578947367	1	5.274963703031238
52	-0.4843864523558197	0.14688795205269028	0.01932826967269336	-0.10210568758244985	1	216.05263157894737	1	5.274963703031238
53	-0.5156859787238797	0.1469991376665053	0.019399976306554302	-0.1011888097677584	0	216.05263157894737	1	5.274963703031238
54	-0.3418224643078801	0.14507756020188148	0.018260727087933238	-0.10208957373671033	1	216.57894736842104	1	5.274963703031238
55	-0.5268472312748884	0.14573419987882713	0.018594283789486965	-0.10128549284119455	0	216.57894736842104	1	5.274963703031238
56	-0.5243785909559688	0.14531685097930302	0.01795134116200696	-0.10197516543334859	1	217.1052631578947	1	5.274963703031238
57	-0.5383025621048492	0.1458864758286398	0.018328405259115922	-0.10115658207691465	0	217.1052631578947	1	5.274963703031238
58	-0.5293505166212349	0.14514926686616159	0.01790138822631012	-0.10206218019915703	1	217.6315789473684	1	5.274963703031238
59	-0.5446207994392955	0.14571486325013655	0.01815034721354652	-0.10103169977299618	0	217.6315789473684	1	5.274963703031238
60	-0.5373188118698043	0.14525239555140954	0.018025464873422718	-0.10192682389649875	1	218.15789473684208	1	5.274963703031238
61	-0.5583151488425323	0.1456979437002128	0.018291343403524712	-0.10100914038925599	0	218.15789473684208	1	5.274963703031238
62	-0.495952967928528	0.14552471973628006	0.01826394985784113	-0.1020243126624734	1	218.68421052631575	1	5.274963703031238
63	-0.5072793873732724	0.14624339776422876	0.01869660673894695	-0.101080847002247	0	218.68421052631575	1	5.274963703031238
64	-0.40099651756884536	0.14441447498359566	0.017838544210203287	-0.1021153558900969	1	219.2105263157895	1	5.274963703031238
65	-0.46315243727901334	0.14506789188698724	0.018233333542345125	-0.10102605992727241	0	219.2105263157895	1	5.274963703031238
66	-0.4693957453464733	0.14518149458051235	0.01826636693603234	-0.10213872096472318	1	219.73684210526315	1	5.274963703031238
67	-0.46562591213658505	0.14577448452079747	0.018564473166442056	-0.1012266773047735	0	219.73684210526315	1	5.274963703031238
68	-0.440705856297576	0.14521855645366785	0.018269589705676933	-0.10167947636617031	1	220.26315789473685	1	5.274963703031238
69	-0.4833575832524023	0.14573258849317483	0.01862651149027522	-0.10093743377602511	0	220.26315789473685	1	5.274963703031238
70	-0.4666040223770216	0.1451959970512158	0.018004516867867394	-0.10172137236530146	1	220.7894736842105	1	5.274963703031238
71	-0.4475083144309546	0.1458510253424105	0.018430728208569634	-0.10096643869827428	0	220.7894736842105	1	5.274963703031238
72	-0.47371425526605426	0.14481409863829897	0.01797390055255561	-0.10207184850686629	1	221.31578947368425	1	5.274963703031238
